Unnamed: 0,City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI_PM2.5,AQI_PM10,AQI_O3,AQI_CO,AQI_SO2,AQI_NO2,Air_Quality,Air_Quality_Category
8558,Moscow,Russia,2023-07-03,55.73,184.75,67.41,45.85,8.85,123.36,16.89,65.18,15.76,151.11875658587988,115.72474747474747,,94.5,63.37564102564103,65.2845652173913,151.11875658587988,Unhealthy
2659,London,UK,2023-01-06,128.78,71.87,99.22,40.83,9.07,34.3,-1.57,92.27,16.91,188.83688092729187,59.349797979797984,,96.7,57.068461538461534,99.1691304347826,188.83688092729187,Unhealthy
8992,Moscow,Russia,2023-08-20,146.28,149.85,17.83,33.8,1.3,189.17,-2.85,26.42,7.88,197.872708113804,97.9459595959596,,14.772727272727272,48.285714285714285,16.82075471698113,197.872708113804,Unhealthy
2767,Istanbul,Turkey,2023-02-13,123.68,17.71,6.13,17.33,6.45,171.35,15.57,56.56,14.91,186.2035827186512,16.39814814814815,,70.5,24.757142857142856,5.783018867924528,186.2035827186512,Unhealthy
8758,Mumbai,India,2023-02-14,125.21,174.92,48.13,17.24,5.39,45.1,16.08,53.87,7.86,186.99357218124345,110.85939393939394,,59.9,24.628571428571423,45.405660377358494,186.99357218124345,Unhealthy
9622,New York,USA,2023-06-13,58.58,49.92,25.07,14.73,1.28,79.3,3.49,29.21,15.45,152.59030558482613,46.22222222222222,,14.545454545454543,21.042857142857144,23.650943396226417,152.59030558482613,Unhealthy
5745,Beijing,China,2023-02-19,106.9,61.44,24.54,26.72,6.6,89.6,39.3,97.69,15.64,177.5395152792413,54.187474747474745,,72.0,38.17142857142857,23.150943396226413,177.5395152792413,Unhealthy
8502,Mumbai,India,2023-11-25,107.72,80.2,89.56,26.51,6.31,42.42,1.96,86.81,11.54,177.96290832455216,63.47272727272728,,69.1,37.871428571428574,88.87913043478261,177.96290832455216,Unhealthy
7705,New York,USA,2023-12-28,58.93,148.1,9.85,20.75,3.01,111.07,0.53,67.77,2.53,152.77102212855638,97.07979797979796,,34.20454545454545,29.642857142857142,9.29245283018868,152.77102212855638,Unhealthy
4625,Johannesburg,South Africa,2023-11-14,107.31,112.76,88.01,23.36,1.92,125.08,31.19,17.59,19.1,177.75121180189674,79.58828282828283,,21.818181818181817,33.371428571428574,87.22804347826087,177.75121180189674,Unhealthy
4224,New York,USA,2023-08-21,135.15,179.94,59.99,16.85,6.72,109.87,-4.99,38.28,8.82,192.1259220231823,113.3440404040404,,73.19999999999999,24.071428571428573,57.38065217391305,192.1259220231823,Unhealthy
4587,Sydney,Australia,2023-10-23,112.51,113.19,94.21,10.75,8.92,194.94,8.63,73.92,17.54,180.43614330874607,79.80111111111111,,95.2,15.357142857142858,93.83239130434782,180.43614330874607,Unhealthy
3398,New York,USA,2023-07-22,114.55,157.53,76.11,18.62,1.25,152.4,-9.15,36.43,12.93,181.48946259220236,102.25222222222224,,14.204545454545451,26.6,74.55195652173913,181.48946259220236,Unhealthy
321,Cairo,Egypt,2023-02-01,115.01,174.63,93.0,1.74,4.67,56.77,13.54,51.34,4.14,181.7269757639621,110.71585858585858,,52.7,2.4857142857142858,92.54347826086956,181.7269757639621,Unhealthy
341,Sydney,Australia,2023-01-25,125.84,108.39,30.63,43.15,7.6,100.72,16.03,18.46,17.43,187.31886195995787,77.42535353535354,,82.0,59.98333333333333,28.89622641509434,187.31886195995787,Unhealthy
9399,Paris,France,2023-08-23,57.5,89.07,36.8,28.59,6.03,23.53,14.59,17.34,2.31,152.03266596417282,67.8629292929293,,66.3,40.84285714285714,34.71698113207547,152.03266596417282,Unhealthy
8679,Dubai,UAE,2023-06-19,123.25,121.64,11.49,25.5,2.47,23.26,11.95,62.56,17.44,185.98155953635404,83.98343434343434,,28.06818181818182,36.42857142857143,10.839622641509434,185.98155953635404,Unhealthy
1045,Beijing,China,2023-07-24,148.93,24.99,66.91,33.12,6.43,165.74,18.82,36.85,14.28,199.240990516333,23.13888888888889,,70.3,47.31428571428571,64.75195652173913,199.240990516333,Unhealthy
5148,Mexico City,Mexico,2023-11-17,98.04,63.99,46.54,30.84,2.25,51.04,-2.76,72.57,13.23,172.96480505795574,55.44959595959596,,25.568181818181817,44.05714285714286,43.90566037735849,172.96480505795574,Unhealthy
1442,Bangkok,Thailand,2023-09-20,124.54,45.96,45.66,14.08,6.59,155.85,13.77,89.83,16.07,186.64762908324556,42.55555555555556,,71.9,20.114285714285717,43.075471698113205,186.64762908324556,Unhealthy
7178,Mexico City,Mexico,2023-07-23,79.44,64.5,92.82,9.41,5.32,193.41,25.03,86.81,2.91,163.36101159114858,55.7020202020202,,59.2,13.442857142857145,92.35173913043478,163.36101159114858,Unhealthy
1832,Toronto,Canada,2023-03-03,98.76,148.4,82.02,34.1,7.44,137.29,8.72,86.56,7.36,173.33656480505795,97.22828282828284,,80.4,48.71428571428572,80.84739130434782,173.33656480505795,Unhealthy
7873,Sydney,Australia,2023-04-17,118.65,186.85,14.32,37.62,3.46,73.24,20.8,33.56,1.47,183.6064278187566,116.7641414141414,,39.31818181818182,53.035384615384615,13.50943396226415,183.6064278187566,Unhealthy
3367,Los Angeles,USA,2023-08-18,145.18,145.31,25.4,12.69,6.44,197.96,38.94,15.39,14.47,197.30474183350896,95.69888888888887,,70.4,18.12857142857143,23.962264150943398,197.30474183350896,Unhealthy
6071,Beijing,China,2023-11-26,143.44,128.04,80.84,27.83,8.69,112.14,16.0,42.38,4.94,196.4063224446786,87.1511111111111,,92.9,39.75714285714285,79.5904347826087,196.4063224446786,Unhealthy
3258,Istanbul,Turkey,2023-06-02,94.98,192.41,74.53,41.28,9.6,146.2,37.57,45.31,9.38,171.38482613277134,119.5160606060606,,102.6896551724138,57.63384615384616,72.86891304347826,171.38482613277134,Unhealthy
1647,Berlin,Germany,2023-10-05,147.65,176.96,15.09,36.79,2.76,138.76,12.19,75.8,9.49,198.5800842992624,111.86909090909091,,31.36363636363636,51.9925641025641,14.235849056603774,198.5800842992624,Unhealthy
3593,Tokyo,Japan,2023-12-05,73.05,42.17,98.24,27.27,5.01,159.81,32.86,97.36,2.81,160.06164383561645,39.0462962962963,,56.1,38.957142857142856,98.12521739130436,160.06164383561645,Unhealthy
2505,Istanbul,Turkey,2023-02-20,114.66,143.38,85.52,8.8,3.41,102.72,24.09,75.04,3.84,181.54625922023183,94.74363636363636,,38.75,12.571428571428571,84.57565217391304,181.54625922023183,Unhealthy
8499,Berlin,Germany,2023-11-11,74.4,117.41,34.24,20.72,3.78,140.0,22.31,26.72,12.08,160.7586933614331,81.88979797979798,,42.95454545454545,29.6,32.301886792452834,160.7586933614331,Unhealthy
4438,London,UK,2023-04-21,103.17,160.81,84.5,34.05,8.66,98.61,13.65,57.23,3.82,175.613593256059,103.87565656565656,,92.6,48.64285714285714,83.48913043478261,175.613593256059,Unhealthy
7639,Paris,France,2023-06-16,57.5,80.23,52.63,23.91,0.8,104.84,37.71,22.6,15.2,152.03266596417282,63.48757575757576,,9.090909090909092,34.15714285714286,49.65094339622642,152.03266596417282,Unhealthy
7771,Bangkok,Thailand,2023-08-02,129.9,181.67,47.17,26.08,3.11,143.7,13.49,44.76,19.16,189.41517386722867,114.20030303030302,,35.340909090909086,37.25714285714285,44.5,189.41517386722867,Unhealthy
747,Tokyo,Japan,2023-12-24,135.83,185.73,79.47,13.54,2.11,93.41,0.12,92.07,17.2,192.47702845100105,116.20979797979795,,23.977272727272727,19.34285714285714,78.13108695652174,192.47702845100105,Unhealthy
6571,New York,USA,2023-08-17,148.65,90.34,28.88,20.34,7.8,92.86,25.3,80.12,13.86,199.0964172813488,68.49151515151516,,84.0,29.057142857142857,27.245283018867923,199.0964172813488,Unhealthy
4065,Sydney,Australia,2023-07-08,105.55,172.09,50.92,47.55,4.35,189.82,24.55,18.06,7.54,176.84246575342465,109.45868686868688,,49.43181818181818,65.51153846153846,48.03773584905661,176.84246575342465,Unhealthy
2052,Paris,France,2023-08-19,75.27,147.72,65.4,13.32,3.62,115.31,11.88,97.64,2.97,161.20790305584825,96.89171717171718,,41.13636363636363,19.02857142857143,63.14347826086957,161.20790305584825,Unhealthy
5475,Moscow,Russia,2023-02-22,145.88,51.95,29.57,25.08,9.01,87.7,21.06,34.05,6.68,197.66617492096944,48.101851851851855,,96.1,35.82857142857143,27.89622641509434,197.66617492096944,Unhealthy
8569,Johannesburg,South Africa,2023-09-25,93.59,175.11,87.37,26.05,4.91,52.42,21.91,73.72,17.45,170.66712328767125,110.95343434343437,,55.1,37.21428571428572,86.5463043478261,170.66712328767125,Unhealthy
4465,Madrid,Spain,2023-01-17,88.42,179.04,49.19,24.89,6.11,17.06,14.14,87.37,9.58,167.99768177028452,112.89858585858586,,67.1,35.55714285714286,46.40566037735849,167.99768177028452,Unhealthy
9453,Mumbai,India,2023-03-27,120.71,76.5,86.92,8.42,2.8,28.78,38.03,80.18,11.09,184.67007376185455,61.64141414141415,,31.818181818181817,12.028571428571428,86.06695652173914,184.67007376185455,Unhealthy
137,New York,USA,2023-06-21,87.36,75.87,22.89,23.88,4.58,98.42,23.67,55.59,9.74,167.45036880927293,61.32959595959596,,51.8,34.114285714285714,21.59433962264151,167.45036880927293,Unhealthy
3992,Dubai,UAE,2023-03-13,91.21,52.14,21.57,27.93,8.39,157.13,5.48,95.15,2.01,169.43825079030557,48.27777777777778,,89.9,39.9,20.349056603773587,169.43825079030557,Unhealthy
7007,Mumbai,India,2023-11-24,80.87,89.66,99.22,49.66,9.62,173.03,20.24,32.87,17.99,164.09936775553214,68.15494949494949,,103.02758620689654,68.16256410256409,99.1691304347826,164.09936775553214,Unhealthy
44,Rio de Janeiro,Brazil,2023-03-25,107.32,60.56,54.25,9.31,5.85,53.98,-9.3,95.38,16.97,177.7563751317176,53.75191919191919,,64.5,13.3,51.266304347826086,177.7563751317176,Unhealthy
9791,Sydney,Australia,2023-11-08,86.18,147.1,28.42,25.29,0.29,120.72,29.67,63.85,19.2,166.84109589041097,96.5848484848485,,3.295454545454545,36.12857142857143,26.811320754716984,166.84109589041097,Unhealthy
5709,Sydney,Australia,2023-04-26,57.57,147.22,96.1,41.87,8.37,39.35,10.01,90.02,19.0,152.06880927291886,96.64424242424244,,89.69999999999999,58.3751282051282,95.84565217391304,152.06880927291886,Unhealthy
5483,Madrid,Spain,2023-03-15,125.54,122.21,93.7,7.84,2.14,167.25,35.28,88.7,2.73,187.16396206533196,84.26555555555555,,24.31818181818182,11.2,93.2891304347826,187.16396206533196,Unhealthy
605,Mexico City,Mexico,2023-11-09,129.05,121.79,31.15,6.58,2.52,113.91,34.62,81.66,2.4,188.9762908324552,84.05767676767678,,28.63636363636364,9.4,29.38679245283019,188.9762908324552,Unhealthy
8050,Madrid,Spain,2023-10-20,121.07,78.84,71.02,18.75,9.79,23.37,37.67,71.11,19.4,184.85595363540568,62.79959595959596,,105.9,26.785714285714285,69.13,184.85595363540568,Unhealthy
3053,Moscow,Russia,2023-08-27,117.29,78.12,53.9,4.66,8.33,97.52,9.11,48.17,6.25,182.90421496311907,62.44323232323232,,89.3,6.6571428571428575,,182.90421496311907,Unhealthy
8185,Johannesburg,South Africa,2023-01-19,113.0,124.05,87.11,48.77,5.81,126.94,-0.93,34.0,14.1,180.6891464699684,85.17626262626263,,64.1,67.04435897435897,86.26934782608696,180.6891464699684,Unhealthy
7133,Tokyo,Japan,2023-12-24,143.8,39.08,6.42,33.05,9.53,107.99,-0.94,47.81,8.43,196.5922023182297,36.18518518518518,,101.50689655172413,47.21428571428571,6.056603773584905,196.5922023182297,Unhealthy
